"Table 1.2. U.S. Net International Investment Position at the End of the Period, Expanded Detail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars]    NOTE:  End of quarter positions begin in the fourth quarter of 2005. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: September 29, 2020 - Next Release Date: December 29, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,Type of investment,1976,1977 ,1978,1979 ,1980,1981 ,1982,1983 ,1984,1985 ,1986,1987 ,1988,1989 ,1990,1991 ,1992,1993 ,1994,1995 ,1996,1997 ,1998,1999 ,2000,2001 ,2002,2003 ,2004,2005 ,2006,2007 ,2008,2009 ,2010,2011 ,2012,2013 ,2014,2015 ,2016,2017 ,2018,2019 
1,U.S. net international investment position (line 4 less line 36),80539,98585,128273,232250,296862,226992,238366,261494,140140,104281,109232,59616,21479,-33713,-149523,-243314,-432129,-121772,-110311,-277567,-328306,-788225,-1033775,-1002268,-1536248,-2294467,-2410363,-2292395,-2362767,-1857226,-1807819,-1278830,-3994625,-2626940,-2511072,-4454616,-4517094,-5367563,-6944154,-7460181,-8129303,-7622208,-9674443,-11050506
2,    Net international investment position excluding financial derivatives (line 5 less line 37),80539,98585,128273,232250,296862,226992,238366,261494,140140,104281,109232,59616,21479,-33713,-149523,-243314,-432129,-121772,-110311,-277567,-328306,-788225,-1033775,-1002268,-1536248,-2294467,-2410363,-2292395,-2362767,-1915141,-1867655,-1350302,-4154260,-2753275,-2621454,-4540655,-4574870,-5445120,-7029686,-7514659,-8187481,-7659853,-9716485,-11070657
3,"    Financial derivatives other than reserves, net (line 6 less line 38)",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,57915,59836,71472,159635,126335,110382,86039,57776,77557,85532,54478,58178,37645,42042,20151
4,  U.S. assets,371424,429060,526090,680460,839083,832943,1030358,1206656,1214478,1392053,1679716,1850216,2098851,2447740,2415654,2605674,2611230,3234733,3434637,4094375,4791796,5536514,6368620,7611443,7642326,7170596,7065765,8621551,10589628,13357640,16410512,20705167,19424093,19427145,21768547,22209642,22563080,24145858,24884150,23432036,24031454,27772333,25233768,29152772
5,"      Assets excluding financial derivatives (sum of lines 7, 10, 21, and 27)",371424,429060,526090,680460,839083,832943,1030358,1206656,1214478,1392053,1679716,1850216,2098851,2447740,2415654,2605674,2611230,3234733,3434637,4094375,4791796,5536514,6368620,7611443,7642326,7170596,7065765,8621551,10589628,12167611,15171517,18145835,13296643,15937366,18116234,17493064,18943319,21128758,21631842,20988665,21811001,26211517,23784178,27362370
6,"      Financial derivatives other than reserves, gross positive fair value (line 15)",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1190029,1238995,2559332,6127450,3489779,3652313,4716578,3619761,3017100,3252308,2443371,2220453,1560816,1449590,1790402
 ,    By functional category:, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,      Direct investment at market value,136743,162860,189868,230060,297349,239080,295981,351325,357920,475693,615138,681751,782947,929965,853331,962582,943364,1204611,1234084,1493609,1749299,2036671,2469095,3051404,2934570,2554463,2283141,3037312,3746863,4047170,4929892,5857923,3707211,4945292,5486391,5214826,5969502,7120688,7242129,7057108,7403191,8923088,7443917,8798665
8,        Equity,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,227369,285799,288987,403897,538513,591850,682896,804307,704136,803456,762212,1002299,1054048,1305643,1540530,1805484,2179807,2678797,2545603,2158911,1840110,2548435,3170545,3449302,4294301,5090968,2928147,4097179,4620850,4320052,4983895,6054227,6059586,5812337,6185809,7683805,6149408,7485049
9,        Debt instruments,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,68612,65526,68933,71796,76625,89901,100051,125658,149195,159126,181152,202312,180036,187966,208769,231187,289288,372607,388967,395552,443031,488877,576318,597868,635591,766955,779064,848113,865541,894774,985607,1066461,1182543,1244771,1217382,1239283,1294509,1313616
