"Table 1.2. U.S. Net International Investment Position at the End of the Period, Expanded Detail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars]    NOTE:  End of quarter positions begin in the fourth quarter of 2005. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: September 29, 2020 - Next Release Date: December 29, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Line, Type of investment,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted
 Line, Type of investment,2006,2006,2006,2006,2007 ,2007 ,2007 ,2007 ,2008,2008,2008,2008,2009 ,2009 ,2009 ,2009 ,2010,2010,2010,2010,2011 ,2011 ,2011 ,2011 ,2012,2012,2012,2012,2013 ,2013 ,2013 ,2013 ,2014,2014,2014,2014,2015 ,2015 ,2015 ,2015 ,2016,2016,2016,2016,2017 ,2017 ,2017 ,2017 ,2018,2018,2018,2018,2019 ,2019 ,2019 ,2019 ,2020,2020
 Line, Type of investment,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 
1,U.S. net international investment position (line 4 less line 36),-1655616,-1678770,-2005759,-1807819,-1654166,-1421382,-1231443,-1278830,-1849030,-1834418,-3309018,-3994625,-3856030,-3199376,-2669479,-2626940,-2769046,-3180635,-2746288,-2511072,-2638416,-2785304,-4134034,-4454616,-4546660,-5220622,-4952111,-4517094,-5041011,-5463827,-4928606,-5367563,-5427447,-5408562,-6140811,-6944154,-6868829,-6772449,-7299578,-7460181,-7754542,-8205746,-7983363,-8129303,-7912846,-7775667,-7525468,-7622208,-7715094,-8776068,-9539807,-9674443,-10144995,-10487872,-10935439,-11050506,-12163277,-13045854
2,    Net international investment position excluding financial derivatives (line 5 less line 37),-1721972,-1746709,-2066066,-1867655,-1711138,-1478196,-1302392,-1350302,-1979787,-1944780,-3412332,-4154260,-4007589,-3360924,-2815123,-2753275,-2882280,-3279847,-2850799,-2621454,-2743614,-2883499,-4239942,-4540655,-4622946,-5288211,-5004604,-4574870,-5081036,-5523179,-4976569,-5445120,-5497075,-5473945,-6221877,-7029686,-6957507,-6820889,-7355608,-7514659,-7789801,-8259617,-8034747,-8187481,-7952317,-7812720,-7559245,-7659853,-7775190,-8847328,-9606461,-9716485,-10180588,-10503638,-10965831,-11070657,-12196974,-13068073
3,"    Financial derivatives other than reserves, net (line 6 less line 38)",66356,67939,60307,59836,56972,56814,70949,71472,130757,110362,103314,159635,151559,161548,145644,126335,113234,99212,104511,110382,105198,98195,105908,86039,76286,67589,52493,57776,40025,59352,47963,77557,69628,65383,81066,85532,88678,48440,56030,54478,35259,53871,51384,58178,39471,37053,33777,37645,60096,71260,66654,42042,35593,15766,30392,20151,33697,22219
4,  U.S. assets,14467068,14806337,15275987,16410512,17306534,18840930,19682090,20705167,21887108,21014074,18432270,19424093,18148073,17932847,19733631,19427145,19753660,19797436,21967350,21768547,22149888,22448435,22301117,22209642,22275356,21546697,22361194,22563080,22726906,22007157,23049759,24145858,24214280,25140119,24736400,24884150,25649101,24790234,23581620,23432036,24160154,24630553,24888821,24031454,25067245,26067535,27124435,27772333,27709116,27064417,27186226,25233768,26932618,27897430,28174292,29152772,26921255,28872792
5,"      Assets excluding financial derivatives (sum of lines 7, 10, 21, and 27)",13277212,13510287,14081823,15171517,16050959,17294218,17961485,18145835,17700833,17375657,15191218,13296643,12586222,13878397,15602595,15937366,16324614,15487124,17183652,18116234,18955585,18975211,17087519,17493064,18325117,17390877,18435588,18943319,19478529,19182090,20288343,21128758,21561370,22443840,21949578,21631842,22239903,22297946,20813545,20988665,21103127,21317683,22102737,21811001,23112798,24136194,25419321,26211517,26186485,25538494,25738965,23784178,25432541,26125265,26096032,27362370,23925175,26122003
6,"      Financial derivatives other than reserves, gross positive fair value (line 15)",1189856,1296050,1194164,1238995,1255575,1546712,1720605,2559332,4186275,3638417,3241052,6127450,5561851,4054450,4131036,3489779,3429046,4310312,4783698,3652313,3194303,3473224,5213598,4716578,3950239,4155820,3925606,3619761,3248377,2825067,2761416,3017100,2652910,2696279,2786822,3252308,3409198,2492288,2768075,2443371,3057027,3312870,2786084,2220453,1954447,1931341,1705114,1560816,1522631,1525923,1447261,1449590,1500077,1772165,2078260,1790402,2996080,2750789
 ,    By functional category:, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,      Direct investment at market value,4380797,4410235,4601077,4929892,5216131,5583502,5812922,5857923,5451453,5365469,4558476,3707211,3497940,4113456,4794375,4945292,5058482,4540945,5163300,5486391,5811089,5855672,4955939,5214826,5675995,5413818,5779627,5969502,6242826,6220248,6761608,7120688,7281944,7590360,7349004,7242129,7450882,7490804,6899499,7057108,7091226,7066510,7443347,7403191,7878486,8177019,8672900,8923088,8634067,8459370,8542061,7443917,8094918,8394750,8305166,8798665,7003704,7942477
