DATE,INDPRO
1/1/1919,5.0124
2/1/1919,4.7908
3/1/1919,4.6524
4/1/1919,4.7355
5/1/1919,4.7632
6/1/1919,5.0678
7/1/1919,5.3724
8/1/1919,5.4555
9/1/1919,5.3447
10/1/1919,5.2893
11/1/1919,5.2062
12/1/1919,5.2893
1/1/1920,5.7878
2/1/1920,5.7878
3/1/1920,5.677
4/1/1920,5.3724
5/1/1920,5.5109
6/1/1920,5.5663
7/1/1920,5.4278
8/1/1920,5.4555
9/1/1920,5.2616
10/1/1920,5.0401
11/1/1920,4.6247
12/1/1920,4.3478
1/1/1921,4.0985
2/1/1921,4.0155
3/1/1921,3.9047
4/1/1921,3.9047
5/1/1921,4.0155
6/1/1921,3.9878
7/1/1921,3.9601
8/1/1921,4.0985
9/1/1921,4.1262
10/1/1921,4.3755
11/1/1921,4.3201
12/1/1921,4.2924
1/1/1922,4.4585
2/1/1922,4.6524
3/1/1922,4.9016
4/1/1922,4.7355
5/1/1922,4.9847
6/1/1922,5.2339
7/1/1922,5.2339
8/1/1922,5.1232
9/1/1922,5.4001
10/1/1922,5.7047
11/1/1922,5.9539
12/1/1922,6.1201
1/1/1923,5.9816
2/1/1923,6.0647
3/1/1923,6.2586
4/1/1923,6.397
5/1/1923,6.4801
6/1/1923,6.4247
7/1/1923,6.3693
8/1/1923,6.2586
9/1/1923,6.1201
10/1/1923,6.0924
11/1/1923,6.0924
12/1/1923,5.9539
1/1/1924,6.0924
2/1/1924,6.2032
3/1/1924,6.0924
4/1/1924,5.8986
5/1/1924,5.6493
6/1/1924,5.4001
7/1/1924,5.317
8/1/1924,5.5109
9/1/1924,5.7047
10/1/1924,5.8432
11/1/1924,5.954
12/1/1924,6.1201
1/1/1925,6.314
2/1/1925,6.314
3/1/1925,6.314
4/1/1925,6.3693
5/1/1925,6.3416
6/1/1925,6.2863
7/1/1925,6.4524
8/1/1925,6.3416
9/1/1925,6.2586
10/1/1925,6.5078
11/1/1925,6.6463
12/1/1925,6.7293
1/1/1926,6.6186
2/1/1926,6.6186
3/1/1926,6.7017
4/1/1926,6.7017
5/1/1926,6.6463
6/1/1926,6.7293
7/1/1926,6.757
8/1/1926,6.8401
9/1/1926,6.9509
10/1/1926,6.9509
11/1/1926,6.9232
12/1/1926,6.8955
1/1/1927,6.8678
2/1/1927,6.9232
3/1/1927,7.0063
4/1/1927,6.8401
5/1/1927,6.8955
6/1/1927,6.8678
7/1/1927,6.7847
8/1/1927,6.7847
9/1/1927,6.674
10/1/1927,6.5355
11/1/1927,6.5355
12/1/1927,6.5632
1/1/1928,6.7017
2/1/1928,6.757
3/1/1928,6.8124
4/1/1928,6.7847
5/1/1928,6.8678
6/1/1928,6.9232
7/1/1928,7.0063
8/1/1928,7.1447
9/1/1928,7.2001
10/1/1928,7.3386
11/1/1928,7.477
12/1/1928,7.6155
1/1/1929,7.7263
2/1/1929,7.6986
3/1/1929,7.7263
4/1/1929,7.8648
5/1/1929,8.0032
6/1/1929,8.0586
7/1/1929,8.1694
8/1/1929,8.0863
9/1/1929,8.0309
10/1/1929,7.8924
11/1/1929,7.5047
12/1/1929,7.1724
1/1/1930,7.1724
2/1/1930,7.1447
3/1/1930,7.034
4/1/1930,6.9786
5/1/1930,6.8678
6/1/1930,6.674
7/1/1930,6.3693
8/1/1930,6.2309
9/1/1930,6.1201
10/1/1930,5.9539
11/1/1930,5.8155
12/1/1930,5.677
1/1/1931,5.6493
2/1/1931,5.677
3/1/1931,5.7878
4/1/1931,5.8155
5/1/1931,5.7324
6/1/1931,5.5939
7/1/1931,5.5109
8/1/1931,5.317
9/1/1931,5.0678
10/1/1931,4.8739
11/1/1931,4.8185
12/1/1931,4.7908
1/1/1932,4.6524
2/1/1932,4.5416
3/1/1932,4.4862
4/1/1932,4.1816
5/1/1932,4.0431
6/1/1932,3.9047
7/1/1932,3.7939
8/1/1932,3.9047
9/1/1932,4.1539
10/1/1932,4.2924
11/1/1932,4.2924
12/1/1932,4.2093
1/1/1933,4.1262
2/1/1933,4.1539
