DATE,RIFSPPNAAD90NB
1997-01-01,5.3
1997-02-01,5.35
1997-03-01,5.55
1997-04-01,5.57
1997-05-01,5.54
1997-06-01,5.56
1997-07-01,5.45
1997-08-01,5.48
1997-09-01,5.48
1997-10-01,5.56
1997-11-01,5.63
1997-12-01,5.57
1998-01-01,5.42
1998-02-01,5.48
1998-03-01,5.47
1998-04-01,5.49
1998-05-01,5.47
1998-06-01,5.47
1998-07-01,5.50
1998-08-01,5.43
1998-09-01,5.12
1998-10-01,5.05
1998-11-01,5.02
1998-12-01,4.84
1999-01-01,4.74
1999-02-01,4.82
1999-03-01,4.82
1999-04-01,4.78
1999-05-01,4.86
1999-06-01,5.17
1999-07-01,5.15
1999-08-01,5.30
1999-09-01,5.29
1999-10-01,5.88
1999-11-01,5.81
1999-12-01,5.75
2000-01-01,5.83
2000-02-01,5.88
2000-03-01,6.09
2000-04-01,6.24
2000-05-01,6.63
2000-06-01,6.58
2000-07-01,6.50
2000-08-01,6.48
2000-09-01,6.47
2000-10-01,6.50
2000-11-01,6.50
2000-12-01,6.37
2001-01-01,5.25
2001-02-01,4.87
2001-03-01,4.73
2001-04-01,4.18
2001-05-01,3.84
2001-06-01,3.63
2001-07-01,3.54
2001-08-01,3.33
2001-09-01,2.38
2001-10-01,2.09
2001-11-01,1.89
2001-12-01,1.79
2002-01-01,1.75
2002-02-01,1.77
2002-03-01,1.90
2002-04-01,1.77
2002-05-01,1.73
2002-06-01,1.74
2002-07-01,1.80
2002-08-01,1.72
2002-09-01,1.71
2002-10-01,1.61
2002-11-01,1.33
2002-12-01,1.36
2003-01-01,1.23
2003-02-01,1.26
2003-03-01,1.21
2003-04-01,1.21
2003-05-01,1.25
2003-06-01,1.01
2003-07-01,1.02
2003-08-01,1.05
2003-09-01,1.05
2003-10-01,1.06
2003-11-01,1.09
2003-12-01,1.03
2004-01-01,1.00
2004-02-01,1.01
2004-03-01,1.02
2004-04-01,1.08
2004-05-01,1.09
2004-06-01,1.47
2004-07-01,1.56
2004-08-01,1.65
2004-09-01,1.82
2004-10-01,1.98
2004-11-01,2.22
2004-12-01,2.35
2005-01-01,2.60
2005-03-01,2.90
2005-04-01,2.97
2005-05-01,3.13
2005-06-01,3.35
2005-07-01,3.54
2005-08-01,3.71
2005-09-01,3.85
2005-10-01,4.06
2005-11-01,4.23
2006-02-01,4.55
2006-03-01,4.77
2006-04-01,4.90
2006-05-01,5.01
2006-06-01,5.29
2006-08-01,5.20
2006-09-01,5.21
2006-10-01,5.20
2006-11-01,5.23
2006-12-01,5.17
2007-01-01,5.18
2007-02-01,5.19
2007-03-01,5.20
2007-04-01,5.22
