"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1979-01","Jan-1979","IDX","Index","0","Units","2015_100","2015=100",30.1027126678957,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1979-02","Feb-1979","IDX","Index","0","Units","2015_100","2015=100",30.4977613905715,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1979-03","Mar-1979","IDX","Index","0","Units","2015_100","2015=100",30.8138003687122,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1979-04","Apr-1979","IDX","Index","0","Units","2015_100","2015=100",31.0508296023176,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1979-05","May-1979","IDX","Index","0","Units","2015_100","2015=100",31.3668685804583,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1979-06","Jun-1979","IDX","Index","0","Units","2015_100","2015=100",31.5248880695286,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1979-07","Jul-1979","IDX","Index","0","Units","2015_100","2015=100",31.7619173031341,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1979-08","Aug-1979","IDX","Index","0","Units","2015_100","2015=100",31.8409270476692,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1979-09","Sep-1979","IDX","Index","0","Units","2015_100","2015=100",32.1569660258099,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1979-10","Oct-1979","IDX","Index","0","Units","2015_100","2015=100",32.3939952594153,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1979-11","Nov-1979","IDX","Index","0","Units","2015_100","2015=100",32.710034237556,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1979-12","Dec-1979","IDX","Index","0","Units","2015_100","2015=100",32.8680537266263,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1980-01","Jan-1980","IDX","Index","0","Units","2015_100","2015=100",33.0260732156966,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1980-02","Feb-1980","IDX","Index","0","Units","2015_100","2015=100",33.4211219383724,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1980-03","Mar-1980","IDX","Index","0","Units","2015_100","2015=100",33.6581511719779,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1980-04","Apr-1980","IDX","Index","0","Units","2015_100","2015=100",33.8951804055834,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1980-05","May-1980","IDX","Index","0","Units","2015_100","2015=100",34.2902291282592,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1980-06","Jun-1980","IDX","Index","0","Units","2015_100","2015=100",34.685277850935,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1980-07","Jul-1980","IDX","Index","0","Units","2015_100","2015=100",34.9223070845404,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1980-08","Aug-1980","IDX","Index","0","Units","2015_100","2015=100",35.3173558072162,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1980-09","Sep-1980","IDX","Index","0","Units","2015_100","2015=100",35.5543850408217,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1980-10","Oct-1980","IDX","Index","0","Units","2015_100","2015=100",35.8704240189623,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1980-11","Nov-1980","IDX","Index","0","Units","2015_100","2015=100",36.3444824861733,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1980-12","Dec-1980","IDX","Index","0","Units","2015_100","2015=100",36.5025019752436,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1981-01","Jan-1981","IDX","Index","0","Units","2015_100","2015=100",37.0555701869897,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1981-02","Feb-1981","IDX","Index","0","Units","2015_100","2015=100",37.4506189096655,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1981-03","Mar-1981","IDX","Index","0","Units","2015_100","2015=100",37.9246773768765,,
"CAN","Canada","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","1981-04","Apr-1981","IDX","Index","0","Units","2015_100","2015=100",38.161706610482,,
