"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1979-Q1","Q1-1979","IDX","Index","0","Units","2015_100","2015=100",21.36058,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1979-Q2","Q2-1979","IDX","Index","0","Units","2015_100","2015=100",21.91781,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1979-Q3","Q3-1979","IDX","Index","0","Units","2015_100","2015=100",22.47504,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1979-Q4","Q4-1979","IDX","Index","0","Units","2015_100","2015=100",23.12514,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1980-Q1","Q1-1980","IDX","Index","0","Units","2015_100","2015=100",23.58951,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1980-Q2","Q2-1980","IDX","Index","0","Units","2015_100","2015=100",24.33248,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1980-Q3","Q3-1980","IDX","Index","0","Units","2015_100","2015=100",24.70397,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1980-Q4","Q4-1980","IDX","Index","0","Units","2015_100","2015=100",25.2612,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1981-Q1","Q1-1981","IDX","Index","0","Units","2015_100","2015=100",25.81844,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1981-Q2","Q2-1981","IDX","Index","0","Units","2015_100","2015=100",26.37567,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1981-Q3","Q3-1981","IDX","Index","0","Units","2015_100","2015=100",26.9329,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1981-Q4","Q4-1981","IDX","Index","0","Units","2015_100","2015=100",28.04737,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1982-Q1","Q1-1982","IDX","Index","0","Units","2015_100","2015=100",28.6046,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1982-Q2","Q2-1982","IDX","Index","0","Units","2015_100","2015=100",29.2547,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1982-Q3","Q3-1982","IDX","Index","0","Units","2015_100","2015=100",30.27629,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1982-Q4","Q4-1982","IDX","Index","0","Units","2015_100","2015=100",31.20502,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1983-Q1","Q1-1983","IDX","Index","0","Units","2015_100","2015=100",31.85512,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1983-Q2","Q2-1983","IDX","Index","0","Units","2015_100","2015=100",32.50522,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1983-Q3","Q3-1983","IDX","Index","0","Units","2015_100","2015=100",33.06246,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1983-Q4","Q4-1983","IDX","Index","0","Units","2015_100","2015=100",33.8983,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1984-Q1","Q1-1984","IDX","Index","0","Units","2015_100","2015=100",33.71256,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1984-Q2","Q2-1984","IDX","Index","0","Units","2015_100","2015=100",33.80543,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1984-Q3","Q3-1984","IDX","Index","0","Units","2015_100","2015=100",34.26979,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1984-Q4","Q4-1984","IDX","Index","0","Units","2015_100","2015=100",34.73415,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1985-Q1","Q1-1985","IDX","Index","0","Units","2015_100","2015=100",35.19851,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1985-Q2","Q2-1985","IDX","Index","0","Units","2015_100","2015=100",36.03436,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1985-Q3","Q3-1985","IDX","Index","0","Units","2015_100","2015=100",36.87021,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1985-Q4","Q4-1985","IDX","Index","0","Units","2015_100","2015=100",37.61319,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1986-Q1","Q1-1986","IDX","Index","0","Units","2015_100","2015=100",38.44904,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1986-Q2","Q2-1986","IDX","Index","0","Units","2015_100","2015=100",39.09914,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1986-Q3","Q3-1986","IDX","Index","0","Units","2015_100","2015=100",40.12074,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1986-Q4","Q4-1986","IDX","Index","0","Units","2015_100","2015=100",41.2352,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1987-Q1","Q1-1987","IDX","Index","0","Units","2015_100","2015=100",42.07105,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1987-Q2","Q2-1987","IDX","Index","0","Units","2015_100","2015=100",42.72115,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1987-Q3","Q3-1987","IDX","Index","0","Units","2015_100","2015=100",43.46413,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1987-Q4","Q4-1987","IDX","Index","0","Units","2015_100","2015=100",44.2071,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1988-Q1","Q1-1988","IDX","Index","0","Units","2015_100","2015=100",44.95008,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1988-Q2","Q2-1988","IDX","Index","0","Units","2015_100","2015=100",45.78593,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1988-Q3","Q3-1988","IDX","Index","0","Units","2015_100","2015=100",46.62178,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1988-Q4","Q4-1988","IDX","Index","0","Units","2015_100","2015=100",47.5505,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1989-Q1","Q1-1989","IDX","Index","0","Units","2015_100","2015=100",48.01486,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1989-Q2","Q2-1989","IDX","Index","0","Units","2015_100","2015=100",49.22219,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1989-Q3","Q3-1989","IDX","Index","0","Units","2015_100","2015=100",50.33666,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1989-Q4","Q4-1989","IDX","Index","0","Units","2015_100","2015=100",51.26538,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1990-Q1","Q1-1990","IDX","Index","0","Units","2015_100","2015=100",52.1941,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1990-Q2","Q2-1990","IDX","Index","0","Units","2015_100","2015=100",53.02995,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1990-Q3","Q3-1990","IDX","Index","0","Units","2015_100","2015=100",53.40144,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1990-Q4","Q4-1990","IDX","Index","0","Units","2015_100","2015=100",54.79452,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","Q","Quarterly","1991-Q1","Q1-1991","IDX","Index","0","Units","2015_100","2015=100",54.70165,,
