"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1979-Q1","Q1-1979","AUD","Australian Dollar","6","Millions",,,30447,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1979-Q2","Q2-1979","AUD","Australian Dollar","6","Millions",,,30918,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1979-Q3","Q3-1979","AUD","Australian Dollar","6","Millions",,,31989,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1979-Q4","Q4-1979","AUD","Australian Dollar","6","Millions",,,33267,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1980-Q1","Q1-1980","AUD","Australian Dollar","6","Millions",,,34165,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1980-Q2","Q2-1980","AUD","Australian Dollar","6","Millions",,,34943,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1980-Q3","Q3-1980","AUD","Australian Dollar","6","Millions",,,36094,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1980-Q4","Q4-1980","AUD","Australian Dollar","6","Millions",,,37753,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1981-Q1","Q1-1981","AUD","Australian Dollar","6","Millions",,,38507,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1981-Q2","Q2-1981","AUD","Australian Dollar","6","Millions",,,39937,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1981-Q3","Q3-1981","AUD","Australian Dollar","6","Millions",,,42103,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1981-Q4","Q4-1981","AUD","Australian Dollar","6","Millions",,,43303,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1982-Q1","Q1-1982","AUD","Australian Dollar","6","Millions",,,44225,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1982-Q2","Q2-1982","AUD","Australian Dollar","6","Millions",,,45919,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1982-Q3","Q3-1982","AUD","Australian Dollar","6","Millions",,,46482,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1982-Q4","Q4-1982","AUD","Australian Dollar","6","Millions",,,47222,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1983-Q1","Q1-1983","AUD","Australian Dollar","6","Millions",,,47623,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1983-Q2","Q2-1983","AUD","Australian Dollar","6","Millions",,,48167,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1983-Q3","Q3-1983","AUD","Australian Dollar","6","Millions",,,50941,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1983-Q4","Q4-1983","AUD","Australian Dollar","6","Millions",,,52339,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1984-Q1","Q1-1984","AUD","Australian Dollar","6","Millions",,,54520,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1984-Q2","Q2-1984","AUD","Australian Dollar","6","Millions",,,55701,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1984-Q3","Q3-1984","AUD","Australian Dollar","6","Millions",,,56378,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1984-Q4","Q4-1984","AUD","Australian Dollar","6","Millions",,,57313,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1985-Q1","Q1-1985","AUD","Australian Dollar","6","Millions",,,59469,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1985-Q2","Q2-1985","AUD","Australian Dollar","6","Millions",,,61784,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1985-Q3","Q3-1985","AUD","Australian Dollar","6","Millions",,,63247,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1985-Q4","Q4-1985","AUD","Australian Dollar","6","Millions",,,64490,,
