"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1981-Q1","Q1-1981","CAD","Canadian Dollar","6","Millions",,,14655,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1981-Q2","Q2-1981","CAD","Canadian Dollar","6","Millions",,,14918,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1981-Q3","Q3-1981","CAD","Canadian Dollar","6","Millions",,,15645,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1981-Q4","Q4-1981","CAD","Canadian Dollar","6","Millions",,,16015,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1982-Q1","Q1-1982","CAD","Canadian Dollar","6","Millions",,,16429,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1982-Q2","Q2-1982","CAD","Canadian Dollar","6","Millions",,,16856,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1982-Q3","Q3-1982","CAD","Canadian Dollar","6","Millions",,,17194,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1982-Q4","Q4-1982","CAD","Canadian Dollar","6","Millions",,,17201,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1983-Q1","Q1-1983","CAD","Canadian Dollar","6","Millions",,,17382,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1983-Q2","Q2-1983","CAD","Canadian Dollar","6","Millions",,,17698,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1983-Q3","Q3-1983","CAD","Canadian Dollar","6","Millions",,,18216,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1983-Q4","Q4-1983","CAD","Canadian Dollar","6","Millions",,,18609,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1984-Q1","Q1-1984","CAD","Canadian Dollar","6","Millions",,,18820,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1984-Q2","Q2-1984","CAD","Canadian Dollar","6","Millions",,,19138,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1984-Q3","Q3-1984","CAD","Canadian Dollar","6","Millions",,,19220,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1984-Q4","Q4-1984","CAD","Canadian Dollar","6","Millions",,,19658,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1985-Q1","Q1-1985","CAD","Canadian Dollar","6","Millions",,,20130,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1985-Q2","Q2-1985","CAD","Canadian Dollar","6","Millions",,,20201,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1985-Q3","Q3-1985","CAD","Canadian Dollar","6","Millions",,,20757,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1985-Q4","Q4-1985","CAD","Canadian Dollar","6","Millions",,,21059,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1986-Q1","Q1-1986","CAD","Canadian Dollar","6","Millions",,,21099,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1986-Q2","Q2-1986","CAD","Canadian Dollar","6","Millions",,,21155,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1986-Q3","Q3-1986","CAD","Canadian Dollar","6","Millions",,,21616,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1986-Q4","Q4-1986","CAD","Canadian Dollar","6","Millions",,,21781,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1987-Q1","Q1-1987","CAD","Canadian Dollar","6","Millions",,,21795,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1987-Q2","Q2-1987","CAD","Canadian Dollar","6","Millions",,,22543,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1987-Q3","Q3-1987","CAD","Canadian Dollar","6","Millions",,,22893,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1987-Q4","Q4-1987","CAD","Canadian Dollar","6","Millions",,,23043,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1988-Q1","Q1-1988","CAD","Canadian Dollar","6","Millions",,,23361,,
"CAN","Canada","P313B","Non-durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","1988-Q2","Q2-1988","CAD","Canadian Dollar","6","Millions",,,23644,,
