"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1991-01","Jan-1991","IDX","Index","0","Units","2015_100","2015=100",66.34883,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1991-02","Feb-1991","IDX","Index","0","Units","2015_100","2015=100",65.19614,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1991-03","Mar-1991","IDX","Index","0","Units","2015_100","2015=100",65.24126,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1991-04","Apr-1991","IDX","Index","0","Units","2015_100","2015=100",65.27744,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1991-05","May-1991","IDX","Index","0","Units","2015_100","2015=100",65.76661,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1991-06","Jun-1991","IDX","Index","0","Units","2015_100","2015=100",66.10589,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1991-07","Jul-1991","IDX","Index","0","Units","2015_100","2015=100",66.28821,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1991-08","Aug-1991","IDX","Index","0","Units","2015_100","2015=100",66.20128,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1991-09","Sep-1991","IDX","Index","0","Units","2015_100","2015=100",66.47054,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1991-10","Oct-1991","IDX","Index","0","Units","2015_100","2015=100",66.18201,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1991-11","Nov-1991","IDX","Index","0","Units","2015_100","2015=100",65.84602,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1991-12","Dec-1991","IDX","Index","0","Units","2015_100","2015=100",65.14915,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1992-01","Jan-1992","IDX","Index","0","Units","2015_100","2015=100",66.06548,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1992-02","Feb-1992","IDX","Index","0","Units","2015_100","2015=100",66.00016,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1992-03","Mar-1992","IDX","Index","0","Units","2015_100","2015=100",65.94518,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1992-04","Apr-1992","IDX","Index","0","Units","2015_100","2015=100",66.54666,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1992-05","May-1992","IDX","Index","0","Units","2015_100","2015=100",66.20128,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1992-06","Jun-1992","IDX","Index","0","Units","2015_100","2015=100",66.43764,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1992-07","Jul-1992","IDX","Index","0","Units","2015_100","2015=100",65.77695,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1992-08","Aug-1992","IDX","Index","0","Units","2015_100","2015=100",66.22477,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1992-09","Sep-1992","IDX","Index","0","Units","2015_100","2015=100",66.59365,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1992-10","Oct-1992","IDX","Index","0","Units","2015_100","2015=100",67.39391,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1992-11","Nov-1992","IDX","Index","0","Units","2015_100","2015=100",67.57201,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1992-12","Dec-1992","IDX","Index","0","Units","2015_100","2015=100",67.73083,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1993-01","Jan-1993","IDX","Index","0","Units","2015_100","2015=100",67.85677,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1993-02","Feb-1993","IDX","Index","0","Units","2015_100","2015=100",68.84405,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1993-03","Mar-1993","IDX","Index","0","Units","2015_100","2015=100",69.54797,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","1993-04","Apr-1993","IDX","Index","0","Units","2015_100","2015=100",69.23595,,
