"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","1991-Q1","Q1-1991","IDX","Index","0","Units","2015_100","2015=100",57.57164,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","1991-Q2","Q2-1991","IDX","Index","0","Units","2015_100","2015=100",57.72943,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","1991-Q3","Q3-1991","IDX","Index","0","Units","2015_100","2015=100",57.91014,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","1991-Q4","Q4-1991","IDX","Index","0","Units","2015_100","2015=100",58.30549,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","1992-Q1","Q1-1992","IDX","Index","0","Units","2015_100","2015=100",57.76105,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","1992-Q2","Q2-1992","IDX","Index","0","Units","2015_100","2015=100",57.68382,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","1992-Q3","Q3-1992","IDX","Index","0","Units","2015_100","2015=100",57.88073,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","1992-Q4","Q4-1992","IDX","Index","0","Units","2015_100","2015=100",58.80956,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","1993-Q1","Q1-1993","IDX","Index","0","Units","2015_100","2015=100",59.15602,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","1993-Q2","Q2-1993","IDX","Index","0","Units","2015_100","2015=100",60.18654,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","1993-Q3","Q3-1993","IDX","Index","0","Units","2015_100","2015=100",59.5504,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","1993-Q4","Q4-1993","IDX","Index","0","Units","2015_100","2015=100",60.46462,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","1994-Q1","Q1-1994","IDX","Index","0","Units","2015_100","2015=100",61.82309,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","1994-Q2","Q2-1994","IDX","Index","0","Units","2015_100","2015=100",62.18214,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","1994-Q3","Q3-1994","IDX","Index","0","Units","2015_100","2015=100",63.54413,,
