


                                                     Total Liabilities to Foreigners by Type and Country   All Countries and IROs (99996)
                                         [Position at end of period in millions of dollars.  Source: Treasury International Capital Reporting System]


                                                                                        Liabilities payable in dollars
                             ----------------------------------------------------------------------------------------------------------------------------------------------------
                                                                       Non-negotiable                                                                            Selected
                                                                          deposits                   Negotiable CDs and short-term securities               other liabilities
                                                                  ------------------------  -----------------------------------------------------------  ------------------------

                                                                    Held by                                                      of which:                 Held by
                                                                    foreign                   Held by                 of which:    other                   foreign
                                                        Total       official                  foreign                  short-      short-                  official                   Total
                                         Total own     custody    institutions                official                term U.S.     term                 institutions              liabilities
                              Payable   liabilities  liabilities      and        Held by    institutions   Held by    Treasury   negotiable  of which:       and        Held by    payable in
          End                   in        payable      payable      foreign     all other   and foreign   all other    obliga-   securities  negotiable    foreign     all other     foreign
           of       TOTAL     dollars   in dollars   in dollars      banks      foreigners     banks      foreigners    tions    (excl.CDs)     CDs         banks      foreigners  currencies
Cntry    Month       [1]        [2]         [3]          [4]          [5]          [6]          [7]          [8]         [9]        [10]        [11]         [12]         [13]        [14]
-----   -------   ---------  ---------  -----------  -----------  ------------  ----------  ------------  ----------  ---------  ----------  ----------  ------------  ----------  -----------
99996   2021-05        n.a.  6,467,171    4,413,947    2,053,224     1,294,155   1,101,786       499,893     631,642    887,846     118,528     125,161     1,308,191   1,631,504         n.a.
99996   2021-04        n.a.  6,274,288    4,230,792    2,043,496     1,281,298   1,074,884       505,951     623,923    906,384     103,346     120,144     1,251,849   1,536,383         n.a.
99996   2021-03   6,552,365  6,217,613    4,129,911    2,087,702     1,280,717   1,033,776       548,914     628,060    966,499     100,946     109,529     1,177,350   1,548,796      334,752
99996   2021-02        n.a.  6,283,624    4,142,242    2,141,382     1,231,084   1,063,066       591,854     648,665  1,035,572      97,339     107,608     1,232,702   1,516,253         n.a.
99996   2021-01        n.a.  6,181,078    4,052,977    2,128,101     1,236,358   1,017,499       555,725     662,539  1,015,077      98,025     105,162     1,212,311   1,496,646         n.a.
99996   2020-12   6,450,218  6,118,160    3,991,532    2,126,628     1,257,410     983,523       541,529     677,546  1,027,314      87,049     104,712     1,180,839   1,477,313      332,058
99996   2020-11        n.a.  6,183,532    4,060,296    2,123,236     1,250,495   1,008,106       556,775     656,934  1,024,089      87,401     102,219     1,206,765   1,504,457         n.a.
99996   2020-10        n.a.  5,988,928    3,864,320    2,124,608     1,237,422     956,804       556,338     650,268  1,011,133      87,648     107,825     1,151,332   1,436,764         n.a.
99996   2020-09   6,417,614  6,069,226    3,934,346    2,134,880     1,272,518     937,513       555,307     668,090  1,017,297      92,835     113,265     1,172,294   1,463,504      348,388
99996   2020-08        n.a.  6,213,613    4,022,216    2,191,397     1,283,896     978,701       573,976     697,163  1,047,630     110,287     113,222     1,225,142   1,454,735         n.a.
99996   2020-07        n.a.  6,143,642    3,960,273    2,183,369     1,264,415     952,181       578,185     691,948  1,039,551     112,575     118,007     1,215,249   1,441,664         n.a.
99996   2020-06   6,543,572  6,222,688    4,048,183    2,174,505     1,298,426     942,011       577,216     682,520  1,040,649     113,965     105,122     1,242,383   1,480,132      320,884
