yearmonth,year,month,cip_govt_3m_2020,dcpnf3m_y
1997,1997,1,14.313619,1.0000229
1997.0834,1997,2,6.7332125,0
1997.1666,1997,3,3.7902462,3.000021
1997.25,1997,4,25.531485,16.000032
1997.3334,1997,5,31.304667,32.000015
1997.4166,1997,6,11.788854,19.999981
1997.5,1997,7,-13.52154,7.9999924
1997.5834,1997,8,-3.6920953,-3.9999962
1997.6666,1997,9,20.32659,15.00001
1997.75,1997,10,12.102073,23.000002
1997.8334,1997,11,37.726566,26.999998
1997.9166,1997,12,13.433086,15.00001
1998,1998,1,15.048293,23.000002
1998.0834,1998,2,16.524487,11.999989
1998.1666,1998,3,21.511612,20.999956
1998.25,1998,4,43.777733,38.999985
1998.3334,1998,5,29.692299,20.999956
1998.4166,1998,6,15.960675,15.999985
1998.5,1998,7,11.003404,19.999981
1998.5834,1998,8,54.606323,38.999985
1998.6666,1998,9,68.072037,63.999985
1998.75,1998,10,39.408455,46.000004
1998.8334,1998,11,42.582031,42.999985
1998.9166,1998,12,38.837692,39.000034
1999,1999,1,18.962093,25.999975
1999.0834,1999,2,9.5648365,1.0000229
1999.1666,1999,3,12.042559,10.000038
1999.25,1999,4,20.573513,15.00001
1999.3334,1999,5,18.767698,13.000011
1999.4166,1999,6,14.354846,22.000027
1999.5,1999,7,27.836157,22.000027
1999.5834,1999,8,35.984184,20.000029
1999.6666,1999,9,67.688217,25.999975
1999.75,1999,10,53.780563,73
1999.8334,1999,11,40.769516,38.999985
1999.9166,1999,12,21.062876,21.999979
2000,2000,1,1.1344426,-11.000013
2000.0834,2000,2,-1.7298063,-1.9999981
2000.1666,2000,3,-12.549916,-12.999964
2000.25,2000,4,31.879604,21.999979
2000.3334,2000,5,94.78875,89.000031
2000.4166,2000,6,65.839462,67.000008
2000.5,2000,7,39.45155,30.999994
2000.5834,2000,8,11.960764,5.9999943
2000.6666,2000,9,25.884453,12.999964
2000.75,2000,10,15.900327,3.000021
2000.8334,2000,11,23.854378,23.000002
2000.9166,2000,12,27.26758,42.999985
2001,2001,1,22.512526,19.999981
2001.0834,2001,2,13.638532,0
2001.1666,2001,3,43.683929,36.999989
2001.25,2001,4,34.3358,22.999977
2001.3334,2001,5,26.949032,16.999985
2001.4166,2001,6,17.891216,-8.9999914
2001.5,2001,7,8.6938181,0
2001.5834,2001,8,20.888109,9.9999905
2001.6666,2001,9,22.746412,6.0000181
2001.75,2001,10,9.1701288,9.9999905
2001.8334,2001,11,15.474279,13.999998
2001.9166,2001,12,10.987092,7.9999924
2002,2002,1,10.436348,0
2002.0834,2002,2,8.9764862,0
2002.1666,2002,3,21.721802,11.000002
2002.25,2002,4,7.8471808,1.9999981
2002.3334,2002,5,12.826391,.99999905
2002.4166,2002,6,9.6384869,9.0000038
2002.5,2002,7,6.5834265,11.49
2002.5834,2002,8,11.863132,9.7100019
2002.6666,2002,9,9.9865112,17.449999
2002.75,2002,10,10.358381,21.98
2002.8334,2002,11,15.754112,14.450002
2002.9166,2002,12,10.075334,23.210001
2003,2003,1,11.350059,8.3199978
2003.0834,2003,2,6.4009285,8.9699984
2003.1666,2003,3,2.8171852,7.4300051
2003.25,2003,4,11.476089,9.4600086
2003.3334,2003,5,11.773152,15.480005
2003.4166,2003,6,16.853184,14.969998
2003.5,2003,7,13.948694,8.7300005
2003.5834,2003,8,11.816194,10.269994
2003.6666,2003,9,14.802989,12.309992
2003.75,2003,10,21.822733,16.149992
2003.8334,2003,11,28.016327,17.110003
2003.9166,2003,12,13.833128,11.589998
2004,2004,1,10.781796,7.0699987
2004.0834,2004,2,6.9055662,9.2700005
2004.1666,2004,3,6.2327113,6.8899989
2004.25,2004,4,10.188556,8.2100029
2004.3334,2004,5,20.593441,4.8699975
2004.4166,2004,6,25.33688,17.630005
2004.5,2004,7,14.233398,11.029995
2004.5834,2004,8,10.121753,1.8100023
2004.6666,2004,9,21.958883,10.300005
2004.75,2004,10,11.790754,7.1500063
2004.8334,2004,11,8.9275427,3.2500029
2004.9166,2004,12,15.871469,13.419986
2005,2005,1,15.566661,12.30998
2005.0834,2005,2,4.0233722,
2005.1666,2005,3,13.185655,11.240005
2005.25,2005,4,12.071225,8.1399918
2005.3334,2005,5,18.555435,22.970009
2005.4166,2005,6,27.607071,27.639984
2005.5,2005,7,11.070116,13.100004
2005.5834,2005,8,17.728046,23.460007
2005.6666,2005,9,33.32,31.009983
2005.75,2005,10,27.21591,20.219994
2005.8334,2005,11,31.989672,26.010014
2005.9166,2005,12,10.237618,
2006,2006,1,-3.6574004,
2006.0834,2006,2,2.5407858,-8.9099884
2006.1666,2006,3,19.893972,14.960003
2006.25,2006,4,14.012325,12.450027
2006.3334,2006,5,19.862823,15.880013
2006.4166,2006,6,31.002251,26.340008
2006.5,2006,7,19.449148,
2006.5834,2006,8,10.719317,8.5399628
2006.6666,2006,9,24.959143,25.759983
2006.75,2006,10,9.2368498,11.309958
2006.8334,2006,11,11.933007,19.500017
2006.9166,2006,12,9.2973328,10.570002
2007,2007,1,6.9119301,6.9499969
2007.0834,2007,2,5.7702012,9.3299866
2007.1666,2007,3,14.936585,15.369987
2007.25,2007,4,28.600132,29.219961
2007.3334,2007,5,45.404896,41.239975
2007.4166,2007,6,32.436962,37.779999
2007.5,2007,7,19.372913,26.749992
2007.5834,2007,8,103.18671,112.08
2007.6666,2007,9,65.806747,76.509979
2007.75,2007,10,46.991264,56.110001
2007.8334,2007,11,117.45885,120.81001
2007.9166,2007,12,93.574364,76.230026
2008,2008,1,69.101929,82.079994
2008.0834,2008,2,52.667339,70.019997
2008.1666,2008,3,70.390518,84.239998
2008.25,2008,4,91.00473,51.829994
2008.3334,2008,5,38.017826,12.759995
2008.4166,2008,6,55.674305,35.510017
2008.5,2008,7,56.611717,23.000002
2008.5834,2008,8,55.611851,32.48999
2008.6666,2008,9,307.30234,121.71999
2008.75,2008,10,152.01469,150.79001
2008.8334,2008,11,192.42278,119.77
2008.9166,2008,12,34.366409,12.92
2009,2009,1,53.734032,13.640001
2009.0834,2009,2,51.092449,22.619999
2009.1666,2009,3,53.40657,22.48
2009.25,2009,4,49.23642,8.1999998
2009.3334,2009,5,36.470798,18.09
2009.4166,2009,6,34.90567,1.0199994
2009.5,2009,7,20.307125,-.15999973
2009.5834,2009,8,28.698322,3.6699996
2009.6666,2009,9,31.465952,10.35
2009.75,2009,10,31.741999,7.04
2009.8334,2009,11,23.693012,8.1199999
2009.9166,2009,12,29.159561,12.950001
2010,2010,1,17.366039,1.91
2010.0834,2010,2,10.007255,6.9900007
2010.1666,2010,3,14.483282,4.9200001
2010.25,2010,4,17.652372,7.3099999
2010.3334,2010,5,31.493992,10.270001
2010.4166,2010,6,22.089792,12.680001
2010.5,2010,7,10.329185,7.3099999
2010.5834,2010,8,7.9459357,10.720001
2010.6666,2010,9,8.7712193,9.1800003
2010.75,2010,10,12.090558,15.08
2010.8334,2010,11,21.240082,3.7199988
2010.9166,2010,12,13.631102,7.0899992
2011,2011,1,12.825194,7.5399995
2011.0834,2011,2,11.485018,9.9700003
2011.1666,2011,3,16.772139,12.5
2011.25,2011,4,9.5537376,17.120001
2011.3334,2011,5,14.302485,12.759999
2011.4166,2011,6,12.442057,9.1199989
2011.5,2011,7,8.7551098,7.8900003
2011.5834,2011,8,15.989734,6.3600006
2011.6666,2011,9,20.926092,11.51
2011.75,2011,10,21.095427,3.3399999
2011.8334,2011,11,23.73114,12.48
2011.9166,2011,12,17.760323,13.400001
2012,2012,1,15.667306,7.8299994
2012.0834,2012,2,13.257999,11.99
2012.1666,2012,3,12.265932,5.9400001
2012.25,2012,4,12.212012,6.7999997
2012.3334,2012,5,15.083424,7.98
2012.4166,2012,6,22.945644,16.870001
2012.5,2012,7,19.789543,8.5600004
2012.5834,2012,8,13.013118,4.3899999
2012.6666,2012,9,20.150494,6.3800006
2012.75,2012,10,19.944605,8.3099995
2012.8334,2012,11,21.712063,14.15
2012.9166,2012,12,19.034128,10.13
2013,2013,1,12.370797,7.5099998
2013.0834,2013,2,7.7502217,6.960001
2013.1666,2013,3,11.806191,3.7699997
2013.25,2013,4,11.509031,9.5199995
2013.3334,2013,5,7.6666598,4.27
2013.4166,2013,6,6.1499739,4.8000002
2013.5,2013,7,12.270366,6.5299997
2013.5834,2013,8,12.217701,5.6900001
2013.6666,2013,9,9.7793264,7.1500001
2013.75,2013,10,10.956275,7.5300002
2013.8334,2013,11,10.433508,4.52
2013.9166,2013,12,6.0465541,2.4500005
2014,2014,1,10.284848,5.1799998
2014.0834,2014,2,8.8259392,5.27
2014.1666,2014,3,2.9391885,5.2400002
2014.25,2014,4,4.3553085,6.8600001
2014.3334,2014,5,4.5632935,4.8600001
2014.4166,2014,6,4.8323402,4.7400002
2014.5,2014,7,7.7165351,4.9600005
2014.5834,2014,8,9.3896208,6.9299998
2014.6666,2014,9,9.1853828,2.1000001
2014.75,2014,10,7.8716173,2.25
2014.8334,2014,11,6.500062,3.0200005
2014.9166,2014,12,2.3180683,5.8700004
2015,2015,1,19.823977,6.5899997
2015.0834,2015,2,12.96388,3.9799995
2015.1666,2015,3,8.7552805,-2.0399995
2015.25,2015,4,11.514223,.36000013
2015.3334,2015,5,7.8465366,-1.54
2015.4166,2015,6,7.7170029,5.3800001
2015.5,2015,7,3.3467097,-6.1700001
2015.5834,2015,8,4.760026,2.6299982
2015.6666,2015,9,17.753391,5.1699996
2015.75,2015,10,11.316381,-3.5500004
