yearmonth,year,month,eF_base
1995.1666,1995,3,
1995.25,1995,4,44.265251
1995.3334,1995,5,27.474609
1995.4166,1995,6,1.4854769
1995.5,1995,7,.5131802
1995.5834,1995,8,-1.6064548
1995.6666,1995,9,-2.7690589
1995.75,1995,10,1.9180564
1995.8334,1995,11,2.8468425
1995.9166,1995,12,-.9834128
1996,1996,1,-20.487793
1996.0834,1996,2,-1.2483461
1996.1666,1996,3,-.50449198
1996.25,1996,4,2.9197586
1996.3334,1996,5,-.61467415
1996.4166,1996,6,-.90719044
1996.5,1996,7,-8.2457619
1996.5834,1996,8,-5.1503925
1996.6666,1996,9,-.22150318
1996.75,1996,10,1.0551764
1996.8334,1996,11,1.0818444
1996.9166,1996,12,.071164146
1997,1997,1,-19.06945
1997.0834,1997,2,-1.470294
1997.1666,1997,3,.11867189
1997.25,1997,4,-3.5930798
1997.3334,1997,5,5.6086283
1997.4166,1997,6,2.3149614
1997.5,1997,7,-11.10421
1997.5834,1997,8,-4.202446
1997.6666,1997,9,-2.5284474
1997.75,1997,10,-17.765505
1997.8334,1997,11,-.0065127765
1997.9166,1997,12,13.987409
1998,1998,1,-17.456736
1998.0834,1998,2,-11.06504
1998.1666,1998,3,-5.9879003
1998.25,1998,4,3.2329297
1998.3334,1998,5,-7.9342389
1998.4166,1998,6,-1.0720464
1998.5,1998,7,1.0851231
1998.5834,1998,8,28.053816
1998.6666,1998,9,-25.109549
1998.75,1998,10,-29.707027
1998.8334,1998,11,78.128082
1998.9166,1998,12,44.972107
1999,1999,1,-2.6263411
1999.0834,1999,2,-4.296154
1999.1666,1999,3,-6.60709
1999.25,1999,4,-12.545314
1999.3334,1999,5,-3.6444707
1999.4166,1999,6,-6.7173338
1999.5,1999,7,.8737278
1999.5834,1999,8,7.1633468
1999.6666,1999,9,-7.7024689
1999.75,1999,10,2.5408318
1999.8334,1999,11,-5.4122181
1999.9166,1999,12,-19.267883
2000,2000,1,-18.257946
2000.0834,2000,2,-7.0893049
2000.1666,2000,3,-2.6668971
2000.25,2000,4,-9.1769037
2000.3334,2000,5,1.3864609
2000.4166,2000,6,4.1655607
2000.5,2000,7,.0069490229
2000.5834,2000,8,-6.5923777
2000.6666,2000,9,32.731167
2000.75,2000,10,28.071493
2000.8334,2000,11,42.140465
2000.9166,2000,12,-23.78932
2001,2001,1,-13.067518
2001.0834,2001,2,-13.690502
2001.1666,2001,3,98.965096
2001.25,2001,4,42.516575
2001.3334,2001,5,8.7954779
2001.4166,2001,6,-2.0990872
2001.5,2001,7,7.275352
2001.5834,2001,8,-35.888416
2001.6666,2001,9,-44.071381
2001.75,2001,10,-7.3018117
2001.8334,2001,11,4.4249225
2001.9166,2001,12,-17.169718
2002,2002,1,-12.345902
2002.0834,2002,2,9.4150448
2002.1666,2002,3,-.10815248
2002.25,2002,4,-2.0954666
2002.3334,2002,5,2.7309945
2002.4166,2002,6,-94.60527
2002.5,2002,7,-88.066322
2002.5834,2002,8,-33.80476
2002.6666,2002,9,23.28429
2002.75,2002,10,-5.2485623
2002.8334,2002,11,-.71600318
2002.9166,2002,12,25.968132
2003,2003,1,-27.26054
2003.0834,2003,2,-71.87159
2003.1666,2003,3,-18.736771
2003.25,2003,4,11.724315
2003.3334,2003,5,71.390778
2003.4166,2003,6,62.398506
2003.5,2003,7,-.63515157
2003.5834,2003,8,-20.698551
2003.6666,2003,9,5.1051164
2003.75,2003,10,35.140041
2003.8334,2003,11,59.28336
2003.9166,2003,12,82.275337
2004,2004,1,39.336723
2004.0834,2004,2,18.158529
2004.1666,2004,3,-1.5038266
2004.25,2004,4,7.796226
2004.3334,2004,5,6.6380491
2004.4166,2004,6,2.6866879
2004.5,2004,7,-.61842507
2004.5834,2004,8,-.44718626
2004.6666,2004,9,-4.2690086
2004.75,2004,10,21.320353
2004.8334,2004,11,67.39843
2004.9166,2004,12,74.737457
2005,2005,1,11.773358
2005.0834,2005,2,-.46892044
2005.1666,2005,3,6.8245721
2005.25,2005,4,-.89103007
2005.3334,2005,5,18.138527
2005.4166,2005,6,1.7636009
2005.5,2005,7,-25.155279
2005.5834,2005,8,-.23983158
2005.6666,2005,9,2.5595155
2005.75,2005,10,-.19379082
2005.8334,2005,11,-5.9353404
2005.9166,2005,12,-6.1865931
2006,2006,1,11.296476
2006.0834,2006,2,5.8055758
2006.1666,2006,3,2.2059913
2006.25,2006,4,10.400337
