year,month,excessequity,excessequity3mo,log_e_eom,log_q_eom,cip_govt_3m_2020,diffy_3m_2020,log_ip_oecd_USD,diff_log_ip
1919,1,,,0,0,,,0,0
1919,2,,,0,0,,,0,0
1919,3,,,0,0,,,0,0
1919,4,,,0,0,,,0,0
1919,5,,,0,0,,,0,0
1919,6,,,0,0,,,0,0
1919,7,,,0,0,,,0,0
1919,8,,,0,0,,,0,0
1919,9,,,0,0,,,0,0
1919,10,,,0,0,,,0,0
1919,11,,,0,0,,,0,0
1919,12,,,0,0,,,0,0
1920,1,,,0,0,,,0,0
1920,2,,,0,0,,,0,0
1920,3,,,0,0,,,0,0
1920,4,,,0,0,,,0,0
1920,5,,,0,0,,,0,0
1920,6,,,0,0,,,0,0
1920,7,,,0,0,,,0,0
1920,8,,,0,0,,,0,0
1920,9,,,0,0,,,0,0
1920,10,,,0,0,,,0,0
1920,11,,,0,0,,,0,0
1920,12,,,0,0,,,0,0
1921,1,,,0,0,,,0,0
1921,2,,,0,0,,,0,0
1921,3,,,0,0,,,0,0
1921,4,,,0,0,,,0,0
1921,5,,,0,0,,,0,0
1921,6,,,0,0,,,0,0
1921,7,,,0,0,,,0,0
1921,8,,,0,0,,,0,0
1921,9,,,0,0,,,0,0
1921,10,,,0,0,,,0,0
1921,11,,,0,0,,,0,0
1921,12,,,0,0,,,0,0
1922,1,,,0,0,,,0,0
1922,2,,,0,0,,,0,0
1922,3,,,0,0,,,0,0
1922,4,,,0,0,,,0,0
1922,5,,,0,0,,,0,0
1922,6,,,0,0,,,0,0
1922,7,,,0,0,,,0,0
1922,8,,,0,0,,,0,0
1922,9,,,0,0,,,0,0
1922,10,,,0,0,,,0,0
1922,11,,,0,0,,,0,0
1922,12,,,0,0,,,0,0
1923,1,,,0,0,,,0,0
1923,2,,,0,0,,,0,0
1923,3,,,0,0,,,0,0
1923,4,,,0,0,,,0,0
1923,5,,,0,0,,,0,0
1923,6,,,0,0,,,0,0
1923,7,,,0,0,,,0,0
1923,8,,,0,0,,,0,0
1923,9,,,0,0,,,0,0
1923,10,,,0,0,,,0,0
1923,11,,,0,0,,,0,0
1923,12,,,0,0,,,0,0
1924,1,,,0,0,,,0,0
1924,2,,,0,0,,,0,0
1924,3,,,0,0,,,0,0
1924,4,,,0,0,,,0,0
1924,5,,,0,0,,,0,0
1924,6,,,0,0,,,0,0
1924,7,,,0,0,,,0,0
1924,8,,,0,0,,,0,0
1924,9,,,0,0,,,0,0
1924,10,,,0,0,,,0,0
1924,11,,,0,0,,,0,0
1924,12,,,0,0,,,0,0
1925,1,,,0,0,,,0,0
1925,2,,,0,0,,,0,0
1925,3,,,0,0,,,0,0
1925,4,,,0,0,,,0,0
