yearquarter,year,quarter,p_all_bl,cip_govt_3m_2020,dlog_q_eom,dlog_c_pc,dlog_c_pc_avg,dlog_y_pc,dlog_y_pc_avg,nfa_y,dnfa_y,nx_y,yield3mo_upd_eom,diffy_3m_2020
1995,1995,1,.0004308491195082,33.482803,-.05716623,.0041382294,-.013133572,.0021083751,.0051726978,,,-.0026198104,5.8104533092298,.88999993
1995.25,1995,2,0,38.589088,-.0011171291,.0084457463,.0091358209,.00089312939,.0064847479,,,-.00390186,5.543126343753801,.63375002
1995.5,1995,3,0,31.726242,.011369728,.0039281091,.011017228,.0059009125,.0053257491,,,-.0035958141,5.3376100571172,.2825
1995.75,1995,4,0,34.342976,.0096278815,.0032688505,.0042393059,.0040279585,.0009730123,,,-.0025049532,5.050062108691701,.17249998
1996,1996,1,.0157697153795731,-10.991767,.010214101,.0082401978,-.0012204865,.0053352695,.0052339071,,,-.0018694795,5.0911279068237,-.32000002
1996.25,1996,2,0,17.297915,.011940931,.0096155684,.012046667,.014018882,.0067108772,,,-.0032776864,5.132197863622801,-.31250003
1996.5,1996,3,.0101938326403365,36.390034,.0017390279,.0050529283,.0052829757,.0060921041,.0039499607,,,-.0048633693,4.9977048818262,-.65375006
1996.75,1996,4,.0374883613784416,16.474169,.0071333209,.0063328571,.012576812,.0073100915,.0055451482,,,-.0028426838,5.1409895478222,-1.2424999
1997,1997,1,.0346491027172421,3.7902462,.049326114,.0031213728,-.000783508,.0017862309,.0010984648,,,-.0023603621,5.2850941835814,-1.505
1997.25,1997,2,.030331639294624,11.788854,.014797346,.0057527637,.0027378711,.01431242,.011518532,,,-.0028566229,5.1439409083217,-1.5699999
1997.5,1997,3,.063025269234577,20.32659,.019177936,.010015405,.014629778,.009811623,.0053249863,,,-.004156739,5.007965396359801,-1.3362499
1997.75,1997,4,.104932675532868,13.433086,.046918515,.0082411254,.00827921,.0057611931,-.00036946608,,,-.0032158706,5.3101355526985,-1.0599999
1998,1998,1,.124335805859936,21.511612,.01399772,.0078507354,-.0058547608,.0076975906,-.00021084194,,,-.0028995657,5.1307171108318,-.78625
1998.25,1998,2,.10254736558927,15.960675,.02101353,.010993251,.005664512,.0067195343,-.002119075,,,-.0046563428,5.043412250201,-.9325
1998.5,1998,3,.309370605101994,68.072037,-.012202799,.0082791056,.013244112,.0096325818,.0071105585,,,-.006107816,4.3095367017762,-.044444468
1998.75,1998,4,.18027891886006,38.837692,-.01705105,.0061151548,.0079733077,.013042313,.012036223,,,-.0046217991,4.4322811056534,-.57599998
1999,1999,1,.116819190096606,12.042559,.020250682,.0076184245,-.0045173406,.0056529786,.0037243664,,,-.0047509372,4.4504940391419,-1.1799999
1999.25,1999,2,.0907888073996357,14.354846,.02180942,.010212237,.0034083878,.0049780477,.0032240532,,,-.0063248356,4.740254536827401,-1.564
1999.5,1999,3,.10959341495202,67.688217,-.022025082,.0097504249,.0088331494,.010066306,.0097535988,,,-.0081671989,4.8040719949432,-1.46
1999.75,1999,4,.091857873873301,21.062876,.020529183,.014432379,.0095834909,.013895907,.011467321,,,-.0072485199,5.3273369761071,-1.7130001
2000,2000,1,.10073107294514,-12.549916,.044046659,-.0013094428,-.0025106771,-.01031329,.011175149,,,-.0078630196,5.818167279441401,-1.895
2000.25,2000,2,.0636464837181728,65.839462,.021872824,.010505685,-.00057939789,.015045631,.00013184967,,,-.0085669952,5.8258813963813,-1.1309999
2000.5,2000,3,.0640556847581743,25.884453,.065406621,.0079015763,.00086384965,-.001843603,.0020494561,,,-.010209888,6.157727309004001,-1.347
2000.75,2000,4,.0730393397759341,27.26758,-.028880313,.0072788037,-.0036895042,.0031998851,.0020961382,,,-.009376185,5.8438815732158,-1.095
2001,2001,1,.0938622024284005,43.683929,.079304956,.0019403071,-.00090105046,-.0053846864,.0023593551,,,-.0083548017,4.2704985102895,.14700001
2001.25,2001,2,.0478677744276485,17.891216,.0086168386,.00034603177,.0061893431,.0028721527,.0038049915,,,-.0081346128,3.628159906179,.80800003
2001.5,2001,3,.151766233602146,22.746412,-.031376135,-.003295701,.011098177,-.0073531889,.0011867238,,,-.0092574768,2.3412239852135,1.4120001
2001.75,2001,4,.0945666910631943,10.987092,.0066522257,-.00032866222,.0025417444,-.00047605191,.0044728955,,,-.0083084907,1.7118906287836,1.624
2002,2002,1,.0468166237006197,21.721802,-.0033936014,.0029983958,.00075305079,.0061529335,.0014233869,,,-.007564371,1.7833335880343,1.819
2002.25,2002,2,.103397586968924,9.6384869,-.10118479,.0084343748,.0081481095,.0035535251,.0075181983,,,-.0093856715,1.6865575881483,2.0090001
2002.5,2002,3,.262814551517643,9.9865112,.011001312,.0024949776,.0025384403,.0013866001,.0012266104,,,-.010795025,1.541404509553,1.96258
